gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
897145470	b211f32f-326b-43d3-8012-2fbce0cc6dcc	http://arctos.database.museum/guid/MSB:Host:9106?seid=1862028	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes fulvus (Desmarest, 1820)	Vulpes fulva		CA	Old Crow	Yukon Territory	PRESENT		939ed180-aa7b-11db-8edf-b8a03c50a862	67.566667	-139.8	3102.0						1957-01-01T00:00:00	1	1	1957	5219282	5219243	PRESERVED_SPECIMEN	MSB	Host	MSB:Host:9106	18916	Robert L. Rausch	1957-01-31T00:00:00	CC0_1_0		Collector(s): Robert L. Rausch			2023-03-29T17:06:19.375Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
897104370	377be098-626f-4cc2-b4b5-35700050669a	http://arctos.database.museum/guid/UAM:Mamm:91603?seid=1171408	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA	Turton Lake	Northwest Territories	PRESENT		d9699a79-4736-45c2-925c-f4033ac67d52	65.28333	-127.83333	16093.0						2001-01-01T00:00:00	1	1	2001	5219243	5219243	PRESERVED_SPECIMEN	UAM	Mamm	UAM:Mamm:91603		Richard Popko	2001-01-01T00:00:00	CC_BY_NC_4_0		Collector(s): Richard Popko; Preparator(s): Eric D. Schiff			2023-03-29T17:16:24.467Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897074434	377be098-626f-4cc2-b4b5-35700050669a	http://arctos.database.museum/guid/UAM:Mamm:64195?seid=1252032	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA	Norman Wells	Northwest Territories	PRESENT		d9699a79-4736-45c2-925c-f4033ac67d52	65.283333	-127.833333	48280.0						2000-01-01T00:00:00	1	1	2000	5219243	5219243	PRESERVED_SPECIMEN	UAM	Mamm	UAM:Mamm:64195		Richard Popko		CC_BY_NC_4_0		Collector(s): J. Chambers; Preparator(s): Eric D. Schiff			2023-03-29T17:16:29.417Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897073955	377be098-626f-4cc2-b4b5-35700050669a	http://arctos.database.museum/guid/UAM:Mamm:64228?seid=1450826	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA	Norman Wells	Northwest Territories	PRESENT		d9699a79-4736-45c2-925c-f4033ac67d52	65.283333	-127.833333	48280.0						2001-06-21T00:00:00	21	6	2001	5219243	5219243	PRESERVED_SPECIMEN	UAM	Mamm	UAM:Mamm:64228		Richard Popko		CC_BY_NC_4_0		Collector(s): Richard Popko; Preparator(s): Eric D. Schiff			2023-03-29T17:16:28.684Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
897073768	377be098-626f-4cc2-b4b5-35700050669a	http://arctos.database.museum/guid/UAM:Mamm:64197?seid=29990	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA	Norman Wells	Northwest Territories	PRESENT		d9699a79-4736-45c2-925c-f4033ac67d52	65.283333	-127.833333	48280.0						2000-06-21T00:00:00	21	6	2000	5219243	5219243	PRESERVED_SPECIMEN	UAM	Mamm	UAM:Mamm:64197		Richard Popko		CC_BY_NC_4_0		Collector(s): Richard Popko; Preparator(s): Eric D. Schiff			2023-03-29T17:16:20.012Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION
891052136	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/544895	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA		Yukon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	64.062516	-138.535194	930.0						2012-08-04T00:00:00	4	8	2012	5219243	5219243	HUMAN_OBSERVATION	iNaturalist	Observations	544895		Marv Elliott	2014-02-26T22:00:04	CC_BY_NC_4_0	Marv Elliott	Marv Elliott			2023-03-29T14:11:44.334Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
891052129	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/544889	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA		Yukon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	64.082837	-138.516054	232.0						2012-08-03T00:00:00	3	8	2012	5219243	5219243	HUMAN_OBSERVATION	iNaturalist	Observations	544889		Marv Elliott	2014-02-26T21:55:52	CC_BY_NC_4_0	Marv Elliott	Marv Elliott			2023-03-29T14:11:38.191Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
812662033	8eddc200-f535-4c65-9b4d-f723eafe607e	urn:catalog:PSM:Mammal:Mammal-25297	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes		SPECIES	Vulpes vulpes (Linnaeus, 1758)	Vulpes vulpes		CA	Old Crow	Yukon	PRESENT		f56c5f80-055c-11d8-b84e-b8a03c50a862	67.5678452	-139.8357856	2033.0						1957-01-01T00:00:00		1	1957	5219243	5219243	PRESERVED_SPECIMEN	PSM	Mammal	Mammal-25297				CC0_1_0		R. Rausch		Native	2023-01-25T07:31:55.607Z		COORDINATE_REPROJECTED;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
686358070	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8a115edb-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes	abietorum	SUBSPECIES	Vulpes vulpes abietorum Merriam, 1900	Vulpes vulpes abietorum		CA	CHAMPAGNE; N SIDE OF DEZADEASH RIVER	Yukon	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	60.7885553	-136.4809742							1947-02-04T00:00:00	4	2	1947	6164268	5219243	PRESERVED_SPECIMEN	KU	KUM	28626				CC_BY_4_0		ALCORN J R			2023-04-06T17:04:24.956Z		COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY
686358069	1d04e739-98a9-4e16-9970-8f8f3bf9e9e3	8a115c30-1ed8-11e3-bfac-90b11c41863e	Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes	abietorum	SUBSPECIES	Vulpes vulpes abietorum Merriam, 1900	Vulpes vulpes abietorum		CA	CHAMPAGNE; N SIDE OF DEZADEASH RIVER	Yukon	PRESENT		b554c320-0560-11d8-b851-b8a03c50a862	60.7885553	-136.4809742							1947-02-04T00:00:00	4	2	1947	6164268	5219243	PRESERVED_SPECIMEN	KU	KUM	28625				CC_BY_4_0		ALCORN J R			2023-04-06T17:04:10.427Z		COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY
